序号,曲目名称,演奏形式,作曲,编曲/配器,编曲/配器_2,库存编号,实体区域,总分谱,PDF,Sibelius,Finale,Encore,MIDI,录音（日期+单位）,视频（日期+单位）,备注,标签
943,幸福水乡,歌曲女合男独,李复斌,李复斌,,VO-XF0001,,手写简总谱,,,,,,,,,
944,（新）贵妃醉酒,歌曲,胡力,,李复斌,VO-XG0001.2013,,总谱,,,,,,,,,
945,绣荷包（云南）,歌曲,,曹文工,,VO-XH0001,,总谱 分谱,,,,,,,,,
,西楼恨,独唱,,,,VO-XL0001,,,,,,,,,,,
946,下四川,声乐,甘肃民歌,曹文工,,VO-XS0001,,总谱 分谱,,,,,,,,,
,星星索（船歌）,歌曲,,李复斌,李复斌,VO-XX0001,,总谱 分谱,,,,,,,,,
,岳飞满江红,独唱,李复斌,,,VO-YF0001.2009,,总谱 分谱,,,,,,,,,
,远方的客人请你留下来,乌苏里船歌,,,李复斌,VO-YF0002.2005,,总谱,,,,,,,,,
947,月光光-联唱,女高,,梁军,,VO-YG0001,,总谱,,,,,,,,广东,
948,阳光下的雪花,歌曲,李复斌,,,VO-YG0002.2018,,总谱 分谱,,,,,,,,,
949,阳关三叠——为女高音、琴、管子、古筝而作,女高音,,李复斌,,VO-YG0003.2011,,总谱,,,,,,,,,
950,月亮代表我的心,歌曲,,杨培贤,,VO-YL0001.2004,,总谱 分谱,,,,,,,,,
951,摇篮曲,合唱与独唱,东北民歌,郑建春,曹文工,VO-YL0002,,总谱 分谱,,,,,,,,,
952,夜来香,歌曲独唱,,李复斌,,VO-YL0003.2010,,总谱,,,,,,,,,
953,越人歌,声乐,刘青,,邓垚、白栋梁,VO-YR0001,,总谱,,,,,,,,,
954,远情,女高音独唱,,,李复斌,VO-YQ0001.2013,,总谱 分谱,,,,,,,,,
955,忆秦娥·娄山关,女声独唱、合唱,李复斌、梁玉嵘,,,VO-YQ0002.2016,,总谱,,,,,,,,,
,越人歌,歌曲,,,李复斌,VO-YR0001.2005,,总谱,,,,,,,,编钟,
956,影视歌曲四首,歌曲,,李复斌,,VO-YS0001.2019,,总谱,,,,,,,,《公关小姐》《蓝精灵之歌》《建国大业》之追寻《我爱你·中国》,
957,永远跟你走,歌曲,李复斌,,,VO-YY0001.2008,,总谱,,,,,,,,,
,雨夜悲怀,梁玉嵘歌曲演唱,,李复斌,,VO-YY0002,,总谱 分谱,,,,,,,,,
,渔歌晚唱,梁玉嵘歌曲演唱,,李复斌,,VO-YG0003,曲库电脑,总谱,,,✓,,,,,,
,渔舟唱晚,梁玉嵘歌曲演唱,,李复斌,,VO-YZ0004.2019,曲库电脑,总谱,,✓,,,,,,,
,渔舟唱晚/沧海一声笑,梁玉嵘歌曲演唱,,李复斌,,VO-YZ0004.2025,曲库电脑,总谱 分谱,✓,✓,,,,,,,
958,知道不知道,声乐,,曹文工,,VO-ZB0001,,总谱 分谱,,,,,,,,,
,紫钗恨,独唱,,,李复斌,VO-ZC0001。2006,,总谱,,,,,,,,,
959,长大后我就成了你,歌曲,,,李复斌,VO-ZD0001,,总谱 分谱,,,,,,,,,
960,祖国颂,歌曲,,,,VO-ZG0001,,分谱,,,,,,,,,
961,组歌五首,独唱,,,,VO-ZG0002,,总谱 分谱,,,,,,,,,
,中国喜洋洋,,,梁军,,VO-ZG0003,,总谱,,,,,,,,,
,祖国万岁,独唱,,李复斌,,VO-ZG0004,,总谱 分谱,,,,,,,,,
962,中华大家园,歌曲,李复斌,,,VO-ZH0001.2008,,总谱,,,,,,,,,
963,珠江之夜（广东音乐）,女生齐唱,,,汤凯旋,VO-ZJ0001.2002,,手写简总谱,,,,,,,,广东,
964,珠江水 南国情,独唱,唐永葆,,李复斌,VO-ZJ0002.2011,,总谱,,,,,,,,广东,
,珠江水 南国情,独唱,唐永葆,,,VO-ZJ0002.2011,,总谱 分谱,,,,,,,,,
965,珠江春潮（第五章——珠江春暖之《七月》）,民族女高音,李复斌,,,VO-ZJ0003,,总谱,,,,,,,,广东,
966,祝酒歌,声乐独唱,施光南,,李复斌,VO-ZJ0004,,总谱,,,,,,,,,
,祝酒歌,声乐独唱,施光南,,,VO-ZJ0004,,手写总谱,,,,,,,,,
,再见杨柳,歌曲,,李复斌,,VO-ZJ0005.2005,,分谱,,,,,,,,,
967,在那遥远的地方,歌曲,王洛宾,,曹文工,VO-ZN0001,,分谱,,,,,,,,,
,在那桃花盛开的地方,歌曲,铁源,李复斌,李复斌,VO-ZN0002,,总谱,,,,,,,,,
,在 水一方,歌曲,林家庆,李复斌,,VO-ZS0001,,总谱 分谱,,,,,,,,交响管乐合奏版,
968,在希望的田野上,歌曲,李复斌,,,VO-ZX0001.2008,,总谱,,,,,,,,,
969,只有山歌敬亲人,群众对唱,雷振邦,,曹文工,VO-ZY0001,,总谱 分谱,,,,,,,,电影《刘三姐》的插曲,
970,在中国大陆上（原版、扩展版）,歌曲,士心,李复斌,杨立娜,VO-ZZ0001,,总谱 分谱,,,,,,,,,
971,荒野七侠,双排键,E.伯恩斯坦,埃及,,EO-HY0001,,总谱,,,,,,,,外国歌曲,
972,闹秋,电子琴,李复斌,,,EO-NQ0001,,总谱,,,,,,,,,
973,泰坦尼克号之旅,电子管风琴,,,李复斌,EO-TT0001,,总谱 分谱,,,,,,,,外国歌曲,
974,红唇绿酒,萨克斯,,,,SA-HC0001,,分谱,,,,,,,,,
975,午夜的萨克斯,萨克斯与乐队,戴夫·考兹,,,SA-WY0001,,总谱 分谱,,,,,,,,外国歌曲,
976,记忆,吉他独奏,Andraw Lioyd Weber,李复斌,,GT-JY0001.2004,,总谱 分谱,,,,,,,,,
977,手风琴集（六首）,外国乐曲旋律谱,,,,AC-SF0001,,总谱,,,,,,,,G大调小步舞曲、音乐的瞬间、军队进行曲、云雀、哈巴涅拉舞曲、小天鹅舞曲,
